miuna	mie	pronoun	dial|coll	+sg+ess
miutta	mie	pronoun	dial|coll	+sg+abe
sie	sie	pronoun	dial|coll	+sg+nom
siut	sie	pronoun	dial|coll	+sg+acc
siun	sie	pronoun	dial|coll	+sg+gen
siuta	sie	pronoun	dial|coll	+sg+par
siuhun	sie	pronoun	dial|coll	+sg+ill
siuun	sie	pronoun	dial|coll	+sg+ill
siussa	sie	pronoun	dial|coll	+sg+ine
siusta	sie	pronoun	dial|coll	+sg+ela
siulle	sie	pronoun	dial|coll	+sg+all
siulla	sie	pronoun	dial|coll	+sg+ade
siulta	sie	pronoun	dial|coll	+sg+abl
siuksi	sie	pronoun	dial|coll	+sg+tra
siuna	sie	pronoun	dial|coll	+sg+ess
siutta	sie	pronoun	dial|coll	+sg+abe
hän	hän	pronoun	-	+sg+nom
hänet	hän	pronoun	-	+sg+acc
hänen	hän	pronoun	-	+sg+gen
häntä	hän	pronoun	-	+sg+par
häneen	hän	pronoun	-	+sg+ill
hänessä	hän	pronoun	-	+sg+ine
hänestä	hän	pronoun	-	+sg+ela
hänelle	hän	pronoun	-	+sg+all
hänellä	hän	pronoun	-	+sg+ade
häneltä	hän	pronoun	-	+sg+abl
häneksi	hän	pronoun	-	+sg+tra
hänenä	hän	pronoun	-	+sg+ess
me	me	pronoun-pl	-	+nom
meidät	me	pronoun-pl	-	+acc
meidän	me	pronoun-pl	-	+gen
meitä	me	pronoun-pl	-	+par
meihin	me	pronoun-pl	-	+ill
meissä	me	pronoun-pl	-	+ine
meistä	me	pronoun-pl	-	+ela
meille	me	pronoun-pl	-	+all
meillä	me	pronoun-pl	-	+ade
meiltä	me	pronoun-pl	-	+abl
meiksi	me	pronoun-pl	-	+tra
meinä	me	pronoun-pl	-	+ess
te	te	pronoun-pl	-	+nom
teidät	te	pronoun-pl	-	+acc
teidän	te	pronoun-pl	-	+gen
teitä	te	pronoun-pl	-	+par
teihin	te	pronoun-pl	-	+ill
teissä	te	pronoun-pl	-	+ine
teistä	te	pronoun-pl	-	+ela
teille	te	pronoun-pl	-	+all
teillä	te	pronoun-pl	-	+ade
teiltä	te	pronoun-pl	-	+abl
teiksi	te	pronoun-pl	-	+tra
teinä	te	pronoun-pl	-	+ess
he	he	pronoun-pl	-	+nom
heidät	he	pronoun-pl	-	+acc
heidän	he	pronoun-pl	-	+gen
heitä	he	pronoun-pl	-	+par
heihin	he	pronoun-pl	-	+ill
heissä	he	pronoun-pl	-	+ine
heistä	he	pronoun-pl	-	+ela
heille	he	pronoun-pl	-	+all
heillä	he	pronoun-pl	-	+ade
heiltä	he	pronoun-pl	-	+abl
heiksi	he	pronoun-pl	-	+tra
heinä	he	pronoun-pl	-	+ess
se	se	pronoun	-	+sg+nom
sen	se	pronoun	-	+sg+gen
sitä	se	pronoun	-	+sg+par
siihen	se	pronoun	-	+sg+ill
siinä	se	pronoun	-	+sg+ine
siitä	se	pronoun	-	+sg+ela
sille	se	pronoun	-	+sg+all
sillä	se	pronoun	-	+sg+ade
siltä	se	pronoun	-	+sg+abl
siksi	se	pronoun	-	+sg+tra
sinä	se	pronoun	-	+sg+ess
ne	se	pronoun	-	+pl+nom
niiden	se	pronoun	-	+pl+gen
niitten	se	pronoun	-	+pl+gen
niitä	se	pronoun	-	+pl+par
niihin	se	pronoun	-	+pl+ill
niissä	se	pronoun	-	+pl+ine
niistä	se	pronoun	-	+pl+ela
niille	se	pronoun	-	+pl+all
niillä	se	pronoun	-	+pl+ade
niiltä	se	pronoun	-	+pl+abl
niiksi	se	pronoun	-	+pl+tra
niinä	se	pronoun	-	+pl+ess
tuo	tuo	pronoun	-	+sg+nom
tuolta	tuo	pronoun	-	+sg+abl
tuolla	tuo	pronoun	-	+sg+ade
tuolle	tuo	pronoun	-	+sg+all
tuosta	tuo	pronoun	-	+sg+ela
tuona	tuo	pronoun	-	+sg+ess
tuon	tuo	pronoun	-	+sg+gen
tuohon	tuo	pronoun	-	+sg+ill
tuossa	tuo	pronoun	-	+sg+ine
tuota	tuo	pronoun	-	+sg+par
tuoksi	tuo	pronoun	-	+sg+tra
nuo	tuo	pronoun	-	+pl+nom
noitta	tuo	pronoun	-	+pl+abe+rare
noilta	tuo	pronoun	-	+pl+abl
noilla	tuo	pronoun	-	+pl+ade
noille	tuo	pronoun	-	+pl+all
noine	tuo	pronoun	-	+pl+com
noista	tuo	pronoun	-	+pl+ela
noina	tuo	pronoun	-	+pl+ess
noiden	tuo	pronoun	-	+pl+gen
noitten	tuo	pronoun	-	+pl+gen
noihin	tuo	pronoun	-	+pl+ill
noissa	tuo	pronoun	-	+pl+ine
noita	tuo	pronoun	-	+pl+par
noiksi	tuo	pronoun	-	+pl+tra
tämä	tämä	pronoun	-	+sg+nom
tältä	tämä	pronoun	-	+sg+abl
tällä	tämä	pronoun	-	+sg+ade
tälle	tämä	pronoun	-	+sg+all
tästä	tämä	pronoun	-	+sg+ela
tänä	tämä	pronoun	-	+sg+ess
tämän	tämä	pronoun	-	+sg+gen
tähän	tämä	pronoun	-	+sg+ill
tässä	tämä	pronoun	-	+sg+ine
tätä	tämä	pronoun	-	+sg+par
täksi	tämä	pronoun	-	+sg+tra
nämä	tämä	pronoun	-	+pl+nom
näittä	tämä	pronoun	-	+pl+abe+rare
näiltä	tämä	pronoun	-	+pl+abl
näillä	tämä	pronoun	-	+pl+ade
näille	tämä	pronoun	-	+pl+all
näine	tämä	pronoun	-	+pl+com
näistä	tämä	pronoun	-	+pl+ela
näinä	tämä	pronoun	-	+pl+ess
näiden	tämä	pronoun	-	+pl+gen
näitten	tämä	pronoun	-	+pl+gen
näihin	tämä	pronoun	-	+pl+ill
näissä	tämä	pronoun	-	+pl+ine
näitä	tämä	pronoun	-	+pl+par
näiksi	tämä	pronoun	-	+pl+tra
kuka	kuka	pronoun	-	+sg+nom
kenet	kuka	pronoun	-	+sg+acc
kenen	kuka	pronoun	-	+sg+gen
ketä	kuka	pronoun	-	+sg+par
keneen	kuka	pronoun	-	+sg+ill
kehen	kuka	pronoun	-	+sg+ill
kenessä	kuka	pronoun	-	+sg+ine
kenestä	kuka	pronoun	-	+sg+ela
kenelle	kuka	pronoun	-	+sg+all
kenellä	kuka	pronoun	-	+sg+ade
keneltä	kuka	pronoun	-	+sg+abl
kelle	kuka	pronoun	-	+sg+all
kellä	kuka	pronoun	-	+sg+ade
keltä	kuka	pronoun	-	+sg+abl
keneksi	kuka	pronoun	-	+sg+tra
kenenä	kuka	pronoun	-	+sg+ess
kenä	kuka	pronoun	-	+sg+ess
ketkä	kuka	pronoun	-	+pl+nom
keiden	kuka	pronoun	-	+pl+gen
keitten	kuka	pronoun	-	+pl+gen
keitä	kuka	pronoun	-	+pl+par
keihin	kuka	pronoun	-	+pl+ill
keissä	kuka	pronoun	-	+pl+ine
keistä	kuka	pronoun	-	+pl+ela
keillä	kuka	pronoun	-	+pl+all
keillä	kuka	pronoun	-	+pl+ade
keiltä	kuka	pronoun	-	+pl+abl
keiksi	kuka	pronoun	-	+pl+tra
keinä	kuka	pronoun	-	+pl+ess
mikä	mikä	pronoun	-	+sg+nom
minkä	mikä	pronoun	-	+sg+gen
mitä	mikä	pronoun	-	+sg+par
mihin	mikä	pronoun	-	+sg+ill
missä	mikä	pronoun	-	+sg+ine
mistä	mikä	pronoun	-	+sg+ela
mille	mikä	pronoun	-	+sg+all
millä	mikä	pronoun	-	+sg+ade
miltä	mikä	pronoun	-	+sg+abl
miksi	mikä	pronoun	-	+sg+tra
minä	mikä	pronoun	-	+sg+ess
mitkä	mikä	pronoun	-	+pl+nom
minkä	mikä	pronoun	-	+pl+gen
mitä	mikä	pronoun	-	+pl+par
mihin	mikä	pronoun	-	+pl+ill
missä	mikä	pronoun	-	+pl+ine
mistä	mikä	pronoun	-	+pl+ela
mille	mikä	pronoun	-	+pl+all
millä	mikä	pronoun	-	+pl+ade
miltä	mikä	pronoun	-	+pl+abl
miksi	mikä	pronoun	-	+pl+tra
minä	mikä	pronoun	-	+pl+ess
joka	joka	pronoun	-	+sg+nom
jonka	joka	pronoun	-	+sg+gen
jota	joka	pronoun	-	+sg+par
johon	joka	pronoun	-	+sg+ill
jossa	joka	pronoun	-	+sg+ine
josta	joka	pronoun	-	+sg+ela
jolle	joka	pronoun	-	+sg+all
jolla	joka	pronoun	-	+sg+ade
jolta	joka	pronoun	-	+sg+abl
joksi	joka	pronoun	-	+sg+tra
jona	joka	pronoun	-	+sg+ess
jotka	joka	pronoun	-	+pl+nom
joiden	joka	pronoun	-	+pl+gen
joitten	joka	pronoun	-	+pl+gen
joita	joka	pronoun	-	+pl+par
joihin	joka	pronoun	-	+pl+ill
joissa	joka	pronoun	-	+pl+ine
joista	joka	pronoun	-	+pl+ela
joille	joka	pronoun	-	+pl+all
joilla	joka	pronoun	-	+pl+ade
joilta	joka	pronoun	-	+pl+abl
joiksi	joka	pronoun	-	+pl+tra
joina	joka	pronoun	-	+pl+ess
jompikumpi	jompikumpi	pronoun	-	+sg+nom
jommankumman	jompikumpi	pronoun	-	+sg+gen
jompaakumpaa	jompikumpi	pronoun	-	+sg+par
jompaankumpaan	jompikumpi	pronoun	-	+sg+ill
jommassakummassa	jompikumpi	pronoun	-	+sg+ine
jommastakummasta	jompikumpi	pronoun	-	+sg+ela
jommallekummalle	jompikumpi	pronoun	-	+sg+all
jommallakummalla	jompikumpi	pronoun	-	+sg+ade
jommaltakummalta	jompikumpi	pronoun	-	+sg+abl
jommaksikummaksi	jompikumpi	pronoun	-	+sg+tra
jompanakumpana	jompikumpi	pronoun	-	+sg+ess
jommatkummat	jompikumpi	pronoun	-	+pl+nom
jompienkumpien	jompikumpi	pronoun	-	+pl+gen
jompiakumpia	jompikumpi	pronoun	-	+pl+par
jompiinkumpiin	jompikumpi	pronoun	-	+pl+ill
jommissakummissa	jompikumpi	pronoun	-	+pl+ine
jommistakummista	jompikumpi	pronoun	-	+pl+ela
jommillekummille	jompikumpi	pronoun	-	+pl+all
jommillakummilla	jompikumpi	pronoun	-	+pl+ade
jommiltakummilta	jompikumpi	pronoun	-	+pl+abl
jommiksikummiksi	jompikumpi	pronoun	-	+pl+tra
jompinakumpina	jompikumpi	pronoun	-	+pl+ess
joku	joku	pronoun	-	+sg+nom
jonkun	joku	pronoun	-	+sg+gen
jotakuta	joku	pronoun	-	+sg+par
johonkuhun	joku	pronoun	-	+sg+ill
jossakussa	joku	pronoun	-	+sg+ine
jostakusta	joku	pronoun	-	+sg+ela
jollekulle	joku	pronoun	-	+sg+all
jollakulla	joku	pronoun	-	+sg+ade
joltakulta	joku	pronoun	-	+sg+abl
joksikuksi	joku	pronoun	-	+sg+tra
jonakuna	joku	pronoun	-	+sg+ess
jotkut	joku	pronoun	-	+pl+nom
joidenkuiden	joku	pronoun	-	+pl+gen
joittenkuitten	joku	pronoun	-	+pl+gen
joitakuita	joku	pronoun	-	+pl+par
joihinkuihin	joku	pronoun	-	+pl+ill
joissakuissa	joku	pronoun	-	+pl+ine
joistakuista	joku	pronoun	-	+pl+ela
joillekuille	joku	pronoun	-	+pl+all
joillakuilla	joku	pronoun	-	+pl+ade
joiltakuilta	joku	pronoun	-	+pl+abl
joiksikuiksi	joku	pronoun	-	+pl+tra
joinakuina	joku	pronoun	-	+pl+ess
jokin	jokin	pronoun	-	+sg+nom
jonkin	jokin	pronoun	-	+sg+gen
jotakin	jokin	pronoun	-	+sg+par
jotain	jokin	pronoun	-	+sg+par
johonkin	jokin	pronoun	-	+sg+ill
jossakin	jokin	pronoun	-	+sg+ine
jostakin	jokin	pronoun	-	+sg+ela
jossain	jokin	pronoun	-	+sg+ine
jostain	jokin	pronoun	-	+sg+ela
jollekin	jokin	pronoun	-	+sg+all
jollakin	jokin	pronoun	-	+sg+ade
joltakin	jokin	pronoun	-	+sg+abl
jollain	jokin	pronoun	-	+sg+ade
joltain	jokin	pronoun	-	+sg+abl
joksikin	jokin	pronoun	-	+sg+tra
jonakin	jokin	pronoun	-	+sg+ess
jonain	jokin	pronoun	-	+sg+ess
jotkin	jokin	pronoun	-	+pl+nom
joidenkin	jokin	pronoun	-	+pl+gen
joittenkin	jokin	pronoun	-	+pl+gen
joitakin	jokin	pronoun	-	+pl+par
joitain	jokin	pronoun	-	+pl+par
joihinkin	jokin	pronoun	-	+pl+ill
joissakin	jokin	pronoun	-	+pl+ine
joistakin	jokin	pronoun	-	+pl+ela
joissain	jokin	pronoun	-	+pl+ine
joistain	jokin	pronoun	-	+pl+ela
joillekin	jokin	pronoun	-	+pl+all
joillakin	jokin	pronoun	-	+pl+ade
joiltakin	jokin	pronoun	-	+pl+abl
joillain	jokin	pronoun	-	+pl+ade
joiltain	jokin	pronoun	-	+pl+abl
joiksikin	jokin	pronoun	-	+pl+tra
joinakin	jokin	pronoun	-	+pl+ess
joinain	jokin	pronoun	-	+pl+ess
kukin	kukin	pronoun	-	+sg+nom
kunkin	kukin	pronoun	-	+sg+gen
kutakin	kukin	pronoun	-	+sg+par
kuhunkin	kukin	pronoun	-	+sg+ill
kussakin	kukin	pronoun	-	+sg+ine
kustakin	kukin	pronoun	-	+sg+ela
kullekin	kukin	pronoun	-	+sg+all
kullakin	kukin	pronoun	-	+sg+ade
kultakin	kukin	pronoun	-	+sg+abl
kuksikin	kukin	pronoun	-	+sg+tra
kunakin	kukin	pronoun	-	+sg+ess
kutkin	kukin	pronoun	-	+pl+nom
kuidenkin	kukin	pronoun	-	+pl+gen
kuittenkin	kukin	pronoun	-	+pl+gen
kuitakin	kukin	pronoun	-	+pl+par
kuihinkin	kukin	pronoun	-	+pl+ill
kuissakin	kukin	pronoun	-	+pl+ine
kuistakin	kukin	pronoun	-	+pl+ela
kuillekin	kukin	pronoun	-	+pl+all
kuillakin	kukin	pronoun	-	+pl+ade
kuiltakin	kukin	pronoun	-	+pl+abl
kuiksikin	kukin	pronoun	-	+pl+tra
kuinakin	kukin	pronoun	-	+pl+ess
mikin	mikin	pronoun	-	+sg+nom
minkin	mikin	pronoun	-	+sg+gen
mitäkin	mikin	pronoun	-	+sg+par
mihinkin	mikin	pronoun	-	+sg+ill
missäkin	mikin	pronoun	-	+sg+ine
mistäkin	mikin	pronoun	-	+sg+ela
millekin	mikin	pronoun	-	+sg+all
milläkin	mikin	pronoun	-	+sg+ade
miltäkin	mikin	pronoun	-	+sg+abl
miksikin	mikin	pronoun	-	+sg+tra
minakin	mikin	pronoun	-	+sg+ess
mitkin	mikin	pronoun	-	+pl+nom
minkin	mikin	pronoun	-	+pl+gen
mitäkin	mikin	pronoun	-	+pl+par
mihinkin	mikin	pronoun	-	+pl+ill
missäkin	mikin	pronoun	-	+pl+ine
mistäkin	mikin	pronoun	-	+pl+ela
millekin	mikin	pronoun	-	+pl+all
milläkin	mikin	pronoun	-	+pl+ade
miltäkin	mikin	pronoun	-	+pl+abl
miksikin	mikin	pronoun	-	+pl+tra
minäkin	mikin	pronoun	-	+pl+ess
kumpikin	kumpikin	pronoun	-	+sg+nom
kummankin	kumpikin	pronoun	-	+sg+gen
kumpaakin	kumpikin	pronoun	-	+sg+par
kumpaankin	kumpikin	pronoun	-	+sg+ill
kummassakin	kumpikin	pronoun	-	+sg+ine
kummastakin	kumpikin	pronoun	-	+sg+ela
kummallekin	kumpikin	pronoun	-	+sg+all
kummallakin	kumpikin	pronoun	-	+sg+ade
kummaltakin	kumpikin	pronoun	-	+sg+abl
kummaksikin	kumpikin	pronoun	-	+sg+tra
kumpanakin	kumpikin	pronoun	-	+sg+ess
kummatkin	kumpikin	pronoun	-	+pl+nom
kumpienkin	kumpikin	pronoun	-	+pl+gen
kumpiakin	kumpikin	pronoun	-	+pl+par
kumpiinkin	kumpikin	pronoun	-	+pl+ill
kummissakin	kumpikin	pronoun	-	+pl+ine
kummistakin	kumpikin	pronoun	-	+pl+ela
kummillekin	kumpikin	pronoun	-	+pl+all
kummillakin	kumpikin	pronoun	-	+pl+ade
kummiltakin	kumpikin	pronoun	-	+pl+abl
kummiksikin	kumpikin	pronoun	-	+pl+tra
kumpinakin	kumpikin	pronoun	-	+pl+ess
kumpikaan	kumpikaan	pronoun	-	+sg+nom
kummankaan	kumpikaan	pronoun	-	+sg+gen
kumpaakaan	kumpikaan	pronoun	-	+sg+par
kumpaankaan	kumpikaan	pronoun	-	+sg+ill
kummassakaan	kumpikaan	pronoun	-	+sg+ine
kummastakaan	kumpikaan	pronoun	-	+sg+ela
kummallekaan	kumpikaan	pronoun	-	+sg+all
kummallakaan	kumpikaan	pronoun	-	+sg+ade
kummaltakaan	kumpikaan	pronoun	-	+sg+abl
kummaksikaan	kumpikaan	pronoun	-	+sg+tra
kumpanakaan	kumpikaan	pronoun	-	+sg+ess
kummatkaan	kumpikaan	pronoun	-	+pl+nom
kumpienkaan	kumpikaan	pronoun	-	+pl+gen
kumpiakaan	kumpikaan	pronoun	-	+pl+par
kumpiinkaan	kumpikaan	pronoun	-	+pl+ill
kummissakaan	kumpikaan	pronoun	-	+pl+ine
kummistakaan	kumpikaan	pronoun	-	+pl+ela
kummillekaan	kumpikaan	pronoun	-	+pl+all
kummillakaan	kumpikaan	pronoun	-	+pl+ade
kummiltakaan	kumpikaan	pronoun	-	+pl+abl
kummiksikaan	kumpikaan	pronoun	-	+pl+tra
kumpinakaan	kumpikaan	pronoun	-	+pl+ess
kukaan	kukaan	pronoun	-	+sg+nom
kenetkään	kukaan	pronoun	-	+sg+acc
kenenkään	kukaan	pronoun	-	+sg+gen
ketään	kukaan	pronoun	-	+sg+par
keneenkään	kukaan	pronoun	-	+sg+ill
kenessäkään	kukaan	pronoun	-	+sg+ine
kenestäkään	kukaan	pronoun	-	+sg+ela
kenellekään	kukaan	pronoun	-	+sg+all
kenelläkään	kukaan	pronoun	-	+sg+ade
keneltäkään	kukaan	pronoun	-	+sg+abl
keneksikään	kukaan	pronoun	-	+sg+tra
kenenäkään	kukaan	pronoun	-	+sg+ess
kellään	kukaan	pronoun	-	+sg+ade
keltään	kukaan	pronoun	-	+sg+abl
ketkään	kukaan	pronoun	-	+pl+nom
ketkään	kukaan	pronoun	-	+pl+acc+rare
keidenkään	kukaan	pronoun	-	+pl+gen
keittenkään	kukaan	pronoun	-	+pl+gen
keitään	kukaan	pronoun	-	+pl+par
keitäkään	kukaan	pronoun	-	+pl+par+rare
keihinkään	kukaan	pronoun	-	+pl+ill
keissäkään	kukaan	pronoun	-	+pl+ine
keistäkään	kukaan	pronoun	-	+pl+ela
keillekään	kukaan	pronoun	-	+pl+all
keilläkään	kukaan	pronoun	-	+pl+ade
keiltäkään	kukaan	pronoun	-	+pl+abl
keiksikään	kukaan	pronoun	-	+pl+tra
keinäkään	kukaan	pronoun	-	+pl+ess
keillään	kukaan	pronoun	-	+pl+ade
keiltään	kukaan	pronoun	-	+pl+abl
kenkään	kukaan	pronoun	-	+sg+gen+poet
kutkaan	kukaan	pronoun	-	+pl+nom+arch
kutkaan	kukaan	pronoun	-	+pl+acc+arch
kuidenkaan	kukaan	pronoun	-	+pl+gen+arch
kuittenkaan	kukaan	pronoun	-	+pl+gen+arch
kuitakaan	kukaan	pronoun	-	+pl+par+arch
kuihinkaan	kukaan	pronoun	-	+pl+ill+arch
kuissakaan	kukaan	pronoun	-	+pl+ine+arch
kuistakaan	kukaan	pronoun	-	+pl+ela+arch
kuillekaan	kukaan	pronoun	-	+pl+all+arch
kuillakaan	kukaan	pronoun	-	+pl+ade+arch
kuiltakaan	kukaan	pronoun	-	+pl+abl+arch
kuiksikaan	kukaan	pronoun	-	+pl+tra+arch
kuinakaan	kukaan	pronoun	-	+pl+ess+arch
kuillaan	kukaan	pronoun	-	+pl+ade+arch
kuiltaan	kukaan	pronoun	-	+pl+abl+arch
kunkaan	kukaan	pronoun	-	+sg+gen+poet
mikään	mikään	pronoun	-	+sg+nom
minkään	mikään	pronoun	-	+sg+gen
mitään	mikään	pronoun	-	+sg+par
mihinkään	mikään	pronoun	-	+sg+ill
missään	mikään	pronoun	-	+sg+ine
mistään	mikään	pronoun	-	+sg+ela
millekään	mikään	pronoun	-	+sg+all
millään	mikään	pronoun	-	+sg+ade
miltään	mikään	pronoun	-	+sg+abl
miksikään	mikään	pronoun	-	+sg+tra
minään	mikään	pronoun	-	+sg+ess
mitkään	mikään	pronoun	-	+pl+nom
minkään	mikään	pronoun	-	+pl+gen
mitään	mikään	pronoun	-	+pl+par
mihinkään	mikään	pronoun	-	+pl+ill
missään	mikään	pronoun	-	+pl+ine
mistään	mikään	pronoun	-	+pl+ela
millekään	mikään	pronoun	-	+pl+all
millään	mikään	pronoun	-	+pl+ade
miltään	mikään	pronoun	-	+pl+abl
miksikään	mikään	pronoun	-	+pl+tra
minään	mikään	pronoun	-	+pl+ess
mi	mi	pronoun	poet	+sg+nom
min	mi	pronoun	poet	+sg+gen
muuan	muuan	pronoun	-	+sg+nom
muuatta	muuan	pronoun	-	+sg+par

jumalten	jumala	noun	-	+pl+gen+poet
viisasten	viisas	adjective	-	+pl+gen+rare
ainut	ainut	adjective	-	+sg+nom
ainutta	ainut	adjective	-	+sg+par
tarvis	tarvis	noun	-	+sg+nom
tarvista	tarvis	noun	-	+sg+par
nukkien	nukke	noun	-	+pl+gen
kandee	kandee	verb	-	+pres+3sg
kandeisi	kandee	verb	-	+cond+3sg
kandennut	kandee	verb	-	+part_past

montaa	moni	pronoun	-	+sg+par
tapaamalta	tapaama	noun	-	+sg+ade
kypsi	kypsi	noun	rare	+sg+nom
kystä	kypsi	noun	rare	+sg+par
huutia	huuti	noun	-	+sg+par
kukkua	kukku	noun	-	+sg+par
kukku	kukku	noun	-	+sg+nom
kyse	kyse	noun	-	+sg+nom
kyseen	kyse	noun	-	+sg+gen
kyseessä	kyse	noun	-	+sg+ine
kyseeseen	kyse	noun	-	+sg+ill

mikälie	mikä|lie	pronoun	-	+sg+nom
minkälie	mikä|lie	pronoun	-	+sg+gen
mitälie	mikä|lie	pronoun	-	+sg+par
mihinlie	mikä|lie	pronoun	-	+sg+ill
missälie	mikä|lie	pronoun	-	+sg+ine
mistälie	mikä|lie	pronoun	-	+sg+ela
millelie	mikä|lie	pronoun	-	+sg+all
millälie	mikä|lie	pronoun	-	+sg+ade
miltälie	mikä|lie	pronoun	-	+sg+abl
miksilie	mikä|lie	pronoun	-	+sg+tra
minälie	mikä|lie	pronoun	-	+sg+ess
mitkälie	mikä|lie	pronoun	-	+pl+nom
minkälie	mikä|lie	pronoun	-	+pl+gen
mitälie	mikä|lie	pronoun	-	+pl+par
mihinlie	mikä|lie	pronoun	-	+pl+ill
missälie	mikä|lie	pronoun	-	+pl+ine
mistälie	mikä|lie	pronoun	-	+pl+ela
millelie	mikä|lie	pronoun	-	+pl+all
millälie	mikä|lie	pronoun	-	+pl+ade
miltälie	mikä|lie	pronoun	-	+pl+abl
miksilie	mikä|lie	pronoun	-	+pl+tra
minälie	mikä|lie	pronoun	-	+pl+ess

kumpainenkin	kumpainenkin	pronoun	-	+sg+nom
kumpaisettakin	kumpainenkin	pronoun	-	+sg+abe
kumpaiseltakin	kumpainenkin	pronoun	-	+sg+abl
kumpaisellakin	kumpainenkin	pronoun	-	+sg+ade
kumpaisellekin	kumpainenkin	pronoun	-	+sg+all
kumpaisestakin	kumpainenkin	pronoun	-	+sg+ela
kumpaisenakin	kumpainenkin	pronoun	-	+sg+ess
kumpaisenkin	kumpainenkin	pronoun	-	+sg+gen
kumpaiseenkin	kumpainenkin	pronoun	-	+sg+ill
kumpaisessakin	kumpainenkin	pronoun	-	+sg+ine
kumpaistakin	kumpainenkin	pronoun	-	+sg+par
kumpaiseksikin	kumpainenkin	pronoun	-	+sg+tra

kumpainenkaan	kumpainenkaan	pronoun	-	+sg+nom
kumpaisettakaan	kumpainenkaan	pronoun	-	+sg+abe
